title,artist,link
View of a Shipyard (1966),Roy M. W. Cameron,___/record/122837?highlight=*:*
Portrait of a Woman (1951),Andrew Kidd,___/record/21235?highlight=*:*
Seated Female Nude (1969),Ian G. Robertson,___/record/22727?highlight=*:*
Harbour Scene 'KY16' (1964),John Bellany,___/record/20743?highlight=*:*
Man in Night Street Scene (1987),Martin Kane,___/record/122754?highlight=*:*
Schizophrenia (2007),Laura Guoke,___/record/99903?highlight=*:*
Grey Still Life (1948),Thomas M. B. Watt,___/record/22653?highlight=*:*
Abstract Composition with Red Squares and Crosses (1976),Gordon MacDonald,___/record/122694?highlight=*:*
Model in Studio (Circa 1962),Lesley M. Johns,___/record/122923?highlight=*:*
Reclining Male Nude (1956),Ballantyne,___/record/21244?highlight=*:*
Untitled (1983),Robert Rivers,___/record/99805?highlight=*:*
Seated Nude (Circa 1988),George M. Glen,___/record/122705?highlight=*:*
Untitled (May 1987),Annabel Keatley,___/record/21568?highlight=*:*
Horses and men (facing left),NA,___/record/20659?highlight=*:*
Co-operation and emulation not competition i. (2024),Eilidh McKeown,___/record/123748?highlight=*:*
Unknown,Unknown,___/record/53542?highlight=*:*
Aphrodite and Eros East Frieze of the Parthenon,NA,___/record/20683?highlight=*:*
Portrait of a Woman (1952),Barbara C. Balmer,___/record/122867?highlight=*:*
Portrait of a Woman (1958),Ann Forbes,___/record/21113?highlight=*:*
Portrait of a Woman's Head (1948),Thomson,___/record/20842?highlight=*:*
Untitled (1983),Andrew Arnott,___/record/21824?highlight=*:*
Unknown,Unknown,___/record/53543?highlight=*:*
Four Standing Male Nudes (1960),Derek Shiel,___/record/20816?highlight=*:*
Studies of Cliffs (15 APR 1961),John Picking,___/record/111036?highlight=*:*
Virgin and Child (statuette head of child missing) (Unknown),Unknown,___/record/20559?highlight=*:*
Standing Male Nude (1959),Gwen Reilly,___/record/21152?highlight=*:*
Plate (1920s),Emma Gillies,___/record/53707?highlight=*:*
Striding Male Nude (1950),Alexander F Mitchell,___/record/21054?highlight=*:*
Untitled (Unknown),Unknown,___/record/21905?highlight=*:*
Untitled (2006),Shona McKinnon,___/record/99867?highlight=*:*
Teacup,Emma Gillies,___/record/53647?highlight=*:*
