title,artist,link
Head Monotype No. 24 (1959),Alan M. Alexander,___/record/50592?highlight=*:*
Portrait of a Woman (1956),John Sprakes DA (Edinburgh) PG (Edinburgh) ROI RBA MAFA,___/record/21184?highlight=*:*
Black and White Abstract (1956),Eric Ritchie,___/record/20802?highlight=*:*
Perpetual Expansion (2006),Melinda Cross,___/record/99886?highlight=*:*
Portrait of a Standing Woman (1950),Edward Stratton,___/record/20825?highlight=*:*
Horses from South Frieze of the Parthenon (1836-1837),NA,___/record/20732?highlight=*:*
Plate (1920s),Emma Gillies,___/record/53714?highlight=*:*
Unknown (1950),John W. Corner,___/record/50521?highlight=*:*
Untitled (1969),Moira Johnson,___/record/22021?highlight=*:*
Untitled (Unknown),Frank Thomson,___/record/21717?highlight=*:*
Drawing of Monaghan (1955),Edith Duke,___/record/21217?highlight=*:*
Candle and Shell at Sea* (1987),Donald Clark,___/record/22729?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,___/record/20700?highlight=*:*
Teacup,Emma Gillies,___/record/53643?highlight=*:*
Seated Female Nude (1959),W Bryden,___/record/21107?highlight=*:*
"Still Life with Jug of Flowers, Goblet and Fruit",Sir William George Gillies,___/record/20753?highlight=*:*
A Cup Of Wine Together Will Make Us Glad- And A Little Friendship Is No Little Matter (1985),Elaine M. Stenning,___/record/99334?highlight=*:*
Unknown (JUN 1987),Hazel Sutherland,___/record/53606?highlight=*:*
Portrait of a Man (Side View) (1958),Peter Standen,___/record/20864?highlight=*:*
Untitled (1983),Robert Rivers,___/record/99809?highlight=*:*
Saucer,Emma Gillies,___/record/53658?highlight=*:*
Untitled (Unknown),Unknown,___/record/21709?highlight=*:*
Female Nude Adjusting Shoe (Recto)/ Seated Female Nude (Verso) (1948),John Thompson,___/record/20843?highlight=*:*
Landscape (1968),Alison Hutton,___/record/21272?highlight=*:*
Espresso Saucer (1920s),Emma Gillies,___/record/53680?highlight=*:*
Lovers and birds (1963),Norman Thom,___/record/99418?highlight=*:*
Unknown (1901),George Bain,___/record/50457?highlight=*:*
Untitled - Sitting Figure (1992),Victoria A. James,___/record/99462?highlight=*:*
Seated Female Nude (1954),Robert Fraser,___/record/21242?highlight=*:*
Birds & Peonies (2002),Asuka Ohsawa,___/record/99940?highlight=*:*
Untitled (1963),W. Douglas,___/record/21768?highlight=*:*
Unknown (Unknown),Unknown,___/record/21683?highlight=*:*
Untitled (1962),John Fraser,___/record/99819?highlight=*:*
Big Handed Woman with Fur Collar (verso) (1953),Llewella C. Brayne,___/record/22706?highlight=*:*
Two Greyhounds (1966-1967),James Fairgrieve,___/record/21397?highlight=*:*
Unknown (1949),Betty Elston,___/record/50583?highlight=*:*
Fox Watch No.1 (1970),Alan Davie,___/record/21695?highlight=*:*
Figures in a Landscape Mending Nets (Circa 1952),Dorothy H. N. Forrest,___/record/122828?highlight=*:*
Near Limoges (1986),Jo Ganter,___/record/21963?highlight=*:*
Unknown (1950),James T. Ferguson,___/record/53497?highlight=*:*
Salmon Abstract,Catherine Fairgrieve,___/record/22595?highlight=*:*
Untitled (Unknown),Anne Slater,___/record/21797?highlight=*:*
Untitled (1983),Unknown,___/record/21894?highlight=*:*
Untitled (1967),Margaret Lothian,___/record/22026?highlight=*:*
Untitled,Garry Marshall,___/record/112341?highlight=*:*
"Male Nude, possibly Hermes (with bubbly feet)",Unknown,___/record/20603?highlight=*:*
Composition with Table and String of Paper (Circa 1989),Claire E. Banks,___/record/122833?highlight=*:*
Portrait of a Woman (1954),John P Busby,___/record/21378?highlight=*:*
Portrait (1954),Ursula Giles,___/record/21207?highlight=*:*
Untitled,Dr Ainslie Yule,___/record/99535?highlight=*:*
Still Life (1994-1995),Kerry Watson,___/record/21450?highlight=*:*
Sampler on course slub material,Unknown,___/record/102665?highlight=*:*
Espresso Cup (1920s),Emma Gillies,___/record/53703?highlight=*:*
Untitled (1997),Rachel Clark,___/record/21875?highlight=*:*
"Coast of Aubrey, Largs (1990)",Karen Guthrie,___/record/21686?highlight=*:*
Man in Spanish Costume (1955),Alexander S Campbell,___/record/21317?highlight=*:*
Street Scene (1964),Peter Pretsell,___/record/21419?highlight=*:*
Three Views of a Standing Male Nude with hand on hip (1948),John Thompson,___/record/20845?highlight=*:*
Unknown,Hazel Holmes,___/record/53598?highlight=*:*
Teacup,Emma Gillies,___/record/53635?highlight=*:*
Robin (1953),Diana M. Douglas-Hamilton,___/record/22741?highlight=*:*
Self Portrait,Lesley M. Johns,___/record/22731?highlight=*:*
Hand Thrown Pot (1920s),Emma Gillies,___/record/53736?highlight=*:*
Mods and Rockers,George M. Donald,___/record/122829?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),NA,___/record/20669?highlight=*:*
Reclining Nude (1952),James P W Syme,___/record/20840?highlight=*:*
Altarpiece of the Coronation of the Virgin,Unknown,___/record/20563?highlight=*:*
Unknown (1950),Alastair Flattely,___/record/50585?highlight=*:*
Standing Male Nude (Circa 1952),John Houston,___/record/21350?highlight=*:*
View of a Caravan (1990s),Peter McGoldrick,___/record/21427?highlight=*:*
Coffee Pot (1920s),Emma Gillies,___/record/53691?highlight=*:*
Standing Female Nude (1954),Margaret Proudfoot,___/record/21253?highlight=*:*
Study for Mural - Industrial Unrest,Robert M E Callender,___/record/21147?highlight=*:*
Untitled (Unknown),Unknown,___/record/21573?highlight=*:*
Unknown (1948),Eric Forrest,___/record/50586?highlight=*:*
Bust of Queen Nefertiti (Coloured) (Unknown),Unknown,___/record/20621?highlight=*:*
Small armorial panel (Unknown),Unknown,___/record/20613?highlight=*:*
Untitled (1965),Laura McPherson,___/record/22482?highlight=*:*
Seated Woman with Hand on Hip (1956-1959),Jacqueline A N Stieger,___/record/20819?highlight=*:*
Standing Female Nude (1953),Allan Sutherland,___/record/20978?highlight=*:*
Dining Table,John Houston,___/record/21045?highlight=*:*
Notations: Edinburgh (2017),India Elizabeth Cawley Gelling,___/record/100016?highlight=*:*
The Etiquette of Landscape and Face: Passage 1 (2015),Leonie Neuweger,___/record/53781?highlight=*:*
No. 98 (1960),John Johnstone,___/record/99256?highlight=*:*
Unknown,Unknown,___/record/53538?highlight=*:*
Saucer,Emma Gillies,___/record/53633?highlight=*:*
Seated Female Nude (1953),Andrew Restall,___/record/20946?highlight=*:*
Small Anatomical Figure,NA,___/record/20601?highlight=*:*
Seated Female Nude (1954),Edith Fraser,___/record/21249?highlight=*:*
Cushion,Enid Mason,___/record/123302?highlight=*:*
Seated Female Nude (1939-1940),Robert A Campbell,___/record/21128?highlight=*:*
Seated Female Nude (Circa 1953),Fiona M Mouat,___/record/122824?highlight=*:*
Rockpools,Rosemary Reid,___/record/20762?highlight=*:*
Unknown (1962),Leslie Johns,___/record/50479?highlight=*:*
Untitled (20 Feb 2014),David C Duke,___/record/21989?highlight=*:*
The Calvaryman (1949),James W. H. Cumming,___/record/122885?highlight=*:*
From Early Italian Poets (1974-1976),"Eduardo Luigi Paolozzi KBE, RA",___/record/21001?highlight=*:*
Portrait of a Woman (1958),Peter Stitt,___/record/20958?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,___/record/20730?highlight=*:*
Venus de' Medici,Unknown,___/record/20607?highlight=*:*
Unknown (1947-1948),Marjorie Wallace,___/record/50449?highlight=*:*
Untitled (1961),Thora Clyne,___/record/112309?highlight=*:*
Untitled (Unknown),Unknown,___/record/21711?highlight=*:*
Untitled (1969),Richard Easson,___/record/99831?highlight=*:*
Horse (1920s),Emma Gillies,___/record/53756?highlight=*:*
Untitled (Unknown),Moyna Flannigan,___/record/21933?highlight=*:*
The Three Tyches,Unknown,___/record/20533?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,___/record/20727?highlight=*:*
Portrait of a Man (1952),David Michie,___/record/21384?highlight=*:*
Unknown (1975),Ruth Stiven,___/record/99517?highlight=*:*
Seated Male Nude (1983-1984),Robert Maclaurin,___/record/21522?highlight=*:*
Metope 3 from entablature of the Parthenon (1837),NA,___/record/20640?highlight=*:*
West Frieze of the Parthenon (1836-1837),NA,___/record/20665?highlight=*:*
Unknown (1981-1985),Lindsay Marshall,___/record/53564?highlight=*:*
Reclining Nude Woman (Circa 1965),Euphemia (Fay) S. Wright,___/record/122812?highlight=*:*
Untitled (1986),Dorothy Black,___/record/21588?highlight=*:*
2122 Pieces (Nov 2007),Matt Carter,___/record/21812?highlight=*:*
Portrait of a Woman Standing (1957),Rosemary Bagshawe,___/record/21221?highlight=*:*
Untitled (Unknown),Simon Yuill,___/record/21638?highlight=*:*
Portrait of a Girl in Shirt and Tie (1962),Jean M. A. Conacher,___/record/122809?highlight=*:*
Seated Male Nude,Unknown,___/record/21509?highlight=*:*
House and Garden,Colin Campbell,___/record/21435?highlight=*:*
Portrait of a Young Woman Sketching (1959),Denness Morton,___/record/20887?highlight=*:*
Crouching Venus (1834),Sarti,___/record/20572?highlight=*:*
Italian quilting in frame,Unknown,___/record/102666?highlight=*:*
Bow of Fishing Boat (1969),John H McKerrell,___/record/99356?highlight=*:*
Unknown (1981),Hazel McGlashan,___/record/50416?highlight=*:*
Monochrome Cityscape (Circa 1976),Martin Churchill,___/record/22586?highlight=*:*
Unknown (1950-1951),Valerie A. Cockburn (Gage),___/record/50557?highlight=*:*
Yellow Hearted Man in Hat*,Unknown,___/record/122789?highlight=*:*
Mallia (1967),Isobel T Johnstone,___/record/99254?highlight=*:*
Standing Male Nude (1958),Richard McNeill,___/record/20892?highlight=*:*
Female Portrait (verso),John Whittaker,___/record/22739?highlight=*:*
Unknown (1964),Helen Cargill,___/record/50500?highlight=*:*
Abstract Male Nude in Landscape (1965),William Gillon,___/record/21313?highlight=*:*
"Trawlers, Granton Harbour (1951)",John W. Corner,___/record/21829?highlight=*:*
Self Portrait (1956),Rose Rifat,___/record/21189?highlight=*:*
"Lloret de Mar, Costa Brava (1958)",Joan F. Biggins,___/record/50614?highlight=*:*
Landscape (1952),James P W Syme,___/record/20839?highlight=*:*
Music is art that colour your life with feelings (1999),Rumi Augusta Nogua,___/record/102742?highlight=*:*
Standing Female Nude (1949),Zygmunt Bukowski,___/record/22516?highlight=*:*
Life Study of Two Nude Models,Scott Lauder,___/record/122698?highlight=*:*
Portrait of a Young Man Poised to Throw,James P W Syme,___/record/20838?highlight=*:*
Man (Circa 1977),Alfons Bytautas,___/record/122795?highlight=*:*
Untitled (1962),F. Milner,___/record/21761?highlight=*:*
Masked Divers,Robin S. Taylor,___/record/22683?highlight=*:*
Portrait of a Woman (1956),John Sprakes DA (Edinburgh) PG (Edinburgh) ROI RBA MAFA,___/record/21191?highlight=*:*
Seated Male Nude (1959),Denness Morton,___/record/21079?highlight=*:*
Carnival Man*,Leonard I. H. Gray,___/record/122847?highlight=*:*
Untitled (Unknown),Unknown,___/record/99858?highlight=*:*
Miners (Circa 1949),Zygmunt Bukowski,___/record/21369?highlight=*:*
Untitled (1963),Iona Murray,___/record/99403?highlight=*:*
Espresso Saucer (1920s),Emma Gillies,___/record/53687?highlight=*:*
Unknown (1958),Andrew P. W. Conkie,___/record/50524?highlight=*:*
Untitled (2007),Patricio Esteban Briceno,___/record/99964?highlight=*:*
Untitled (2014),Rachel Hill,___/record/47449?highlight=*:*
Untitled (1991-1992),Kate McKenzie,___/record/21934?highlight=*:*
Standing Male Nude (1964),Kirkland Main,___/record/122720?highlight=*:*
Abstract Composition in Yellow (Circa 1972),Charles K. S. Shaw,___/record/22599?highlight=*:*
Composition with Two Dresses (1969),David A. H. Gibsone,___/record/122869?highlight=*:*
Landscape (1961),Robin Forrester,___/record/21294?highlight=*:*
Untitled (Unknown),Derek Reid,___/record/21642?highlight=*:*
Seated Female Nude (1966-1967),George Donald,___/record/21094?highlight=*:*
Saucer,Emma Gillies,___/record/53664?highlight=*:*
Seated Female Nude on Painted Wooden Chair (1967),Gwendolene H. MacKenzie,___/record/122722?highlight=*:*
Green Square Abstract,Unknown,___/record/22625?highlight=*:*
Scraped Bus Wheel (1990),Alastair Clark,___/record/21900?highlight=*:*
Male Model with Towel (1950),Alexander Cree,___/record/22661?highlight=*:*
Unknown (1964),Cameron,___/record/53586?highlight=*:*
Espresso Saucer (1920s),Emma Gillies,___/record/53690?highlight=*:*
Man with Wooden Leg Pulling Barrow of Flowers (1958-1959),Peter Standen,___/record/20795?highlight=*:*
Untitled (1983),Elizabeth Gourlay,___/record/21595?highlight=*:*
Untitled - Standing Nude Male Draped with a Robe (1963),Gordon Bryce,___/record/99275?highlight=*:*
Yellow Mist,Unknown,___/record/122899?highlight=*:*
Cat (1950),Zygmunt Bukowski,___/record/21323?highlight=*:*
Trying to be So Quiet,Nicola M. Wheal,___/record/122902?highlight=*:*
Unknown (1950),James Bowman,___/record/50610?highlight=*:*
Portrait of a Man Seated (possibly),Paul Furneaux,___/record/21517?highlight=*:*
Tiger Tiger (Unknown),Enid Marx,___/record/21664?highlight=*:*
Portrait of a Woman (1939-1940),James H Donaldson,___/record/21123?highlight=*:*
Untitled (1963),Carol Handyside,___/record/99841?highlight=*:*
Reclining Male Nude (1959),James C. Y. Gavin,___/record/20878?highlight=*:*
Saucer,Emma Gillies,___/record/53629?highlight=*:*
Unknown (1939),Eleanora Borrie,___/record/50608?highlight=*:*
Still Life with Jar (Circa 1958),Peter C. Standen,___/record/122788?highlight=*:*
Forth Shore II (1985),Gwyneth M. Leech,___/record/21801?highlight=*:*
Portrait of a Woman (1958),John Boyd,___/record/20957?highlight=*:*
Sitting Nude Female (1977),Joanna I. Taylor,___/record/22721?highlight=*:*
Unknown (1953),Laura Nye,___/record/53571?highlight=*:*
Abstract in Yellow and Black (1991),Unknown,___/record/22630?highlight=*:*
Untitled - Paris cityscape with Two Cranes (1963),Ann F Ward,___/record/99343?highlight=*:*
Untitled (2002),Lindsey Edghill,___/record/99943?highlight=*:*
Espresso Cup (1920s),Emma Gillies,___/record/53697?highlight=*:*
Dish (1920s),Emma Gillies,___/record/53723?highlight=*:*
Untitled (1977),Katherine Keil,___/record/21618?highlight=*:*
29 Split Summer Festival (1983),Boris Bućan,___/record/22041?highlight=*:*
Portrait of a Man (1962),Leslie Johns,___/record/21263?highlight=*:*
Central Park in the Dark Some 40 Years Ago (1974-1976),"Eduardo Luigi Paolozzi KBE, RA",___/record/21000?highlight=*:*
Unknown (Circa 1890),Unknown,___/record/50464?highlight=*:*
Tray-bearer from North Frieze of the Parthenon (1836-1837),NA,___/record/20688?highlight=*:*
Untitled - Two Men in Suits (1967),Catherine Robin,___/record/99412?highlight=*:*
Empty Potato Field,Frances M. Walker,___/record/22693?highlight=*:*
Untitled (Unknown),Frelyn Morton,___/record/21969?highlight=*:*
Untitled (1946),Vivian Chapman,___/record/21734?highlight=*:*
Unknown (1963),Roger Cameron,___/record/53590?highlight=*:*
Untitled (Unknown),Unknown,___/record/21789?highlight=*:*
The Mirror Conspiracy (2007),Joakim Lund,___/record/99972?highlight=*:*
Portrait of a Standing Woman (07 FEB 1957),Albert Robson,___/record/20814?highlight=*:*
Unknown,Robert Euman,___/record/53546?highlight=*:*
Untitled (Unknown),Vivien Hinkley,___/record/21858?highlight=*:*
Reclining Male Nude (1957),William J. Dungate,___/record/20964?highlight=*:*
Still Life with Striped Cloth and Pots,David Rifat,___/record/22691?highlight=*:*
"Still Life with White Lace, Fish and Edinburgh Castle (1967)",Marie Waugh,___/record/22580?highlight=*:*
Four Orchids,Susan Alexander,___/record/50408?highlight=*:*
Still Life with Mirror (1970),Peter Wheeler,___/record/122815?highlight=*:*
Portrait of a Woman (1959),W Bryden,___/record/21105?highlight=*:*
Cantoria (right panel),Unknown,___/record/20580?highlight=*:*
Landscape with Resting Harvesters (1953),John Houston,___/record/122708?highlight=*:*
Teacup,Emma Gillies,___/record/53636?highlight=*:*
Untitled (1966),Molly Harris,___/record/99833?highlight=*:*
Skeleton (1957),Norman E Kirkpatrick,___/record/21023?highlight=*:*
Peacocks at Beveridge Park (20 Apr 1984),Unknown,___/record/21631?highlight=*:*
Portrait Study (1950),Thomas Kim Redpath,___/record/22703?highlight=*:*
Untitled (1983),Unknown,___/record/21837?highlight=*:*
Composition with Wire Form (1994),John Maclean,___/record/47458?highlight=*:*
"HKD Burg Giebichenstein Halle, Germany (APR 2002)",Sabine Lechner,___/record/21908?highlight=*:*
Abstract Composition in Yellow and Blue (Circa 1976),Gordon MacDonald,___/record/22556?highlight=*:*
Untitled (Unknown),Patrick Wichtler,___/record/21949?highlight=*:*
Unknown (Unknown),Unknown,___/record/21866?highlight=*:*
Portrait of a Woman (1939-1940),Robert A Campbell,___/record/21129?highlight=*:*
The Stone of Orkney (2012),Teruo Isomi,___/record/21366?highlight=*:*
Efficacious Force (2013),Marissa Stoffer,___/record/47443?highlight=*:*
Woman Sitting,Helen M. Percy,___/record/122798?highlight=*:*
Unknown (1950),Zygmunt Bukowski,___/record/53558?highlight=*:*
Seated Female Nude (1954),D Stewart Lowdon,___/record/21241?highlight=*:*
Untitled (1969),Rosemary Hamblin,___/record/22004?highlight=*:*
Untitled - Abstract Still Life of Flowers and Fruit (1963),Ann F Ward,___/record/99351?highlight=*:*
Untitled,Peter Pretsell,___/record/99796?highlight=*:*
Lit Doorway,C. K.?,___/record/22541?highlight=*:*
Unknown (1957),Joan F. Biggins,___/record/50612?highlight=*:*
Unknown,Robert Hamilton Dalrymple,___/record/53532?highlight=*:*
Portrait of a Woman (1962),Hope,___/record/21281?highlight=*:*
Interior and Window (1971),Karol Prentice,___/record/21364?highlight=*:*
Unknown (1960),Jean I. Beattie,___/record/50615?highlight=*:*
Kneeling Female Nude (1959),Jean I. Beattie,___/record/20924?highlight=*:*
Espresso Saucer (1920s),Emma Gillies,___/record/53678?highlight=*:*
Country Pleasure (1950),Zygmunt Bukowski,___/record/122879?highlight=*:*
Orkney Totem (1980),Reinhard Behrens,___/record/21690?highlight=*:*
Untitled - Bikes in a Garage (1984),Heidi J P Kosaniuk,___/record/99437?highlight=*:*
Standing Male Nude (Circa 1939),Alistair W McCheyne,___/record/21085?highlight=*:*
Untitled (16 Jan 1979),James M. Fraser,___/record/21644?highlight=*:*
Portrait of a Woman (1939),Betty M. Ferguson,___/record/21130?highlight=*:*
Portrait of a Man (1959),Kenneth Dingwall,___/record/21331?highlight=*:*
Man with Woman Smoking (1964),Kirkland Main,___/record/22549?highlight=*:*
Untitled (1983),Robert Rivers,___/record/99811?highlight=*:*
Unknown (1947),Sheila Turnbull,___/record/50454?highlight=*:*
Untitled (NOV 1988),Joanne Leonie Milne,___/record/21936?highlight=*:*
A Picture of a Small Dog Going on a Long Journey (Unknown),Margaret Clyde,___/record/21884?highlight=*:*
Untitled - Man in Glasses Reading (1985),Sophie J Brown,___/record/99424?highlight=*:*
Untitled (1997),Sena K.,___/record/21923?highlight=*:*
Untitled - Portrait of a Female with Fringe (1963-1964),Irene G. Thomson,___/record/99420?highlight=*:*
Portrait of a Man (Circa 1963),Ruth M. L. Walker,___/record/122756?highlight=*:*
Portrait of a Young Woman (1958),Ian Hodkinson,___/record/20879?highlight=*:*
Unknown (1949),Thomas Clapperton,___/record/50560?highlight=*:*
Obstacle - Exploded Drawing (2014),Charles Myatt,___/record/47456?highlight=*:*
Untitled (Unknown),Victoria C F Bernie,___/record/21787?highlight=*:*
Edinburgh College of Art War Memorial (1922),"Charles d'Orville Pilkington-Jackson ARSA, FRBS, FRSA",___/record/99985?highlight=*:*
Unknown,Helen Gibbs,___/record/50387?highlight=*:*
Unknown (1947-1948),Marjorie Wallace,___/record/50439?highlight=*:*
Dog (1966),James Fairgrieve,___/record/21345?highlight=*:*
Architectural Drawing,Graeme McKenna,___/record/21459?highlight=*:*
The Berwick Law (Feb 1983),Wendy McMurdo,___/record/21811?highlight=*:*
Unknown (1946),Margaret C. Ogilvy,___/record/50493?highlight=*:*
Cast Study of Lorenzo de' Medici Bust,Kenneth Dingwall,___/record/50629?highlight=*:*
Cantoria (left panel),Unknown,___/record/20578?highlight=*:*
Needle lace mat,Unknown,___/record/102712?highlight=*:*
"Unknown, abstract (2004)",Amy Marshall,___/record/99487?highlight=*:*
Portrait of a Woman (1948),Thomas Kim Redpath,___/record/20800?highlight=*:*
Seated Female Nude (Circa 1959),Kenneth Dingwall,___/record/122753?highlight=*:*
Untitled - Abstracted Shapes in Greys and Greens (1963),Gordon Bryce,___/record/99277?highlight=*:*
Machine embroidered stole (1958),Unknown,___/record/102685?highlight=*:*
Untitled (1966),Helen G. S Forde,___/record/99812?highlight=*:*
Untitled (Unknown),Ciaran O'Nuallian,___/record/99971?highlight=*:*
Untitled (1968),Gillian Mather,___/record/22501?highlight=*:*
Munich Olympics (1972),Alan Davie,___/record/21536?highlight=*:*
Unknown (24 JAN 1947),Eric Forrest,___/record/50588?highlight=*:*
Travelling (Nov 1947),Dorothy M. Peach,___/record/21737?highlight=*:*
Filtrate (1991),Joan Rutie,___/record/21967?highlight=*:*
Composition unified by blue using under colour orange (1962),John Bellany,___/record/20777?highlight=*:*
Untitled (Unknown),Unknown,___/record/21782?highlight=*:*
Still Life,Vivien Alexander,___/record/122874?highlight=*:*
Abstract (1967),Eileen E M Lawrence,___/record/22614?highlight=*:*
Charioteers from North Frieze of the Parthenon (1836-1837),NA,___/record/20678?highlight=*:*
Untitled (Unknown),Patrick McKenzie Smith,___/record/21614?highlight=*:*
Untitled (1997),Peter Marshall,___/record/21889?highlight=*:*
Sleeping Male Nude (1970),Elsbeth Coop,___/record/20970?highlight=*:*
View of a Street (1980),Calum Wilson,___/record/21454?highlight=*:*
"Circo Togni, Ravenna (1957)",Peter McGinn,___/record/21114?highlight=*:*
Untitled - Nude Figure Lying in Bed (1984),Joseph Sharples,___/record/99333?highlight=*:*
Self Portrait (1951),Barbara C. Balmer,___/record/22708?highlight=*:*
Squirrel (1920s),Emma Gillies,___/record/122125?highlight=*:*
Reclining Female Nude (1969),Leslie McConnell,___/record/21274?highlight=*:*
Portrait of a Man,John Hunter,___/record/21041?highlight=*:*
Part of petticoat,Unknown,___/record/100004?highlight=*:*
Portrait of a Man (1948),Sheena Page,___/record/21071?highlight=*:*
Dish (1924),Emma Gillies,___/record/122068?highlight=*:*
Untitled (Unknown),Unknown,___/record/21925?highlight=*:*
Unknown,Alexander Cree,___/record/50548?highlight=*:*
Standing Male Nude (1957),Alejandro B. Braso,___/record/21247?highlight=*:*
Untitled,Unknown,___/record/102725?highlight=*:*
Untitled (1967),Alistair Bell,___/record/99379?highlight=*:*
Modulated Joy #1 (2016),Ed Compson,___/record/99267?highlight=*:*
Chimney (1986),Charles P. Stiven,___/record/122777?highlight=*:*
Shimmurmur (2006),James Bellinger,___/record/99887?highlight=*:*
Untitled (2006),Elizabeth Shepherd,___/record/99875?highlight=*:*
Untitled (Unknown),Unknown,___/record/21992?highlight=*:*
Man with Two Birds (1947),Perpetua Pope,___/record/122736?highlight=*:*
Untitled (1946),Vivian Chapman,___/record/21736?highlight=*:*
Chinese damask robe (19th Century),Unknown,___/record/100005?highlight=*:*
Portrait of a Seated Woman (1965-1966),George Donald,___/record/21172?highlight=*:*
Table-Top Still Life with Oranges (Circa 1963),Roger W. Cameron,___/record/122841?highlight=*:*
Plate (1920s),Emma Gillies,___/record/53713?highlight=*:*
Standing Female Nude (1967),Sylvia M. R. Cameron,___/record/22701?highlight=*:*
Self Portrait,Ursula Giles,___/record/22728?highlight=*:*
Untitled (1962),James Goodall,___/record/99848?highlight=*:*
Teacup,Emma Gillies,___/record/53646?highlight=*:*
Untitled (Unknown),Unknown,___/record/21851?highlight=*:*
Stairs,Scott Lawrie,___/record/21515?highlight=*:*
Unknown (1960),Hugh Deans,___/record/53572?highlight=*:*
Portrait of a Woman (19 JAN 1953),Mary C. A. Edmond,___/record/21197?highlight=*:*
Plate (1920s),Emma Gillies,___/record/53709?highlight=*:*
Untitled (Unknown),Unknown,___/record/21861?highlight=*:*
Untitled (1970s),Charlotte H.M. Bryce,___/record/21833?highlight=*:*
Landscape (Circa 1953),Trevor Stubley,___/record/21413?highlight=*:*
Aeschylus and Socrates (1975),"Eduardo Luigi Paolozzi KBE, RA",___/record/21700?highlight=*:*
Tomb,Susan Robson,___/record/22534?highlight=*:*
Baroque Nude (1959),Alan Alexander,___/record/21092?highlight=*:*
Black Sitka (1961),William Johnstone,___/record/499?highlight=*:*
Portrait of Graham Sulivan (1955),Ursula Giles,___/record/22704?highlight=*:*
Untitled (1963),Madelene R Galloway,___/record/99822?highlight=*:*
Vojna Tajna (Unknown),Boris Bućan,___/record/22029?highlight=*:*
Fragment of foliated frieze (mediaeval),Unknown,___/record/20558?highlight=*:*
Espresso Saucer (1920s),Emma Gillies,___/record/53685?highlight=*:*
Female Nude (1952),David Michie,___/record/21388?highlight=*:*
Portrait of a Bearded Man (1960),Marjory Dickson,___/record/20992?highlight=*:*
Untitled (1961),Vivien Alexander,___/record/99385?highlight=*:*
Mexican needleweaving birds and hearts (1951),Unknown,___/record/102693?highlight=*:*
Standing Male Nude (1953),Allan Sutherland,___/record/20979?highlight=*:*
Self Portrait (1949),Margaret Moodie,___/record/50491?highlight=*:*
Untitled (Unknown),Victoria Bimie,___/record/21962?highlight=*:*
Untitled (Unknown),Unknown,___/record/21821?highlight=*:*
Set of NDS slides,Unknown,___/record/102675?highlight=*:*
Unknown (1950),Jacquetta Burn-Callander,___/record/50574?highlight=*:*
Standing Female Nude (1954),Nita Newman,___/record/21254?highlight=*:*
Espresso Cup (1920s),Emma Gillies,___/record/53702?highlight=*:*
Abstract Still Life with Jug and Fruit Bowl (1959),Denness Morton,___/record/21080?highlight=*:*
Untitled (1962),W. Douglas,___/record/21765?highlight=*:*
Smocking diagrams and samples,Unknown,___/record/102667?highlight=*:*
Lamb (1920s),Emma Gillies,___/record/122124?highlight=*:*
Untitled (1967),June Hanlon,___/record/22019?highlight=*:*
Standing Female Nude (1954),Elizabeth Blackadder,___/record/21406?highlight=*:*
Performing Labour in an Industrial Setting I (2020),Aisling Ward,___/record/113775?highlight=*:*
Drawing of a Young Woman (12 NOV 1959),Sheila Percival,___/record/20990?highlight=*:*
Untitled (1962),Chris Holmes,___/record/21771?highlight=*:*
Positano (FEB 1948),Marjorie Wallace,___/record/50446?highlight=*:*
Foot Study (Unknown),Unknown,___/record/123536?highlight=*:*
Tree-lined Lane,Garry Marshall,___/record/21431?highlight=*:*
Untitled (Unknown),Kerys Ellery,___/record/21615?highlight=*:*
Untitled (Unknown),Robert Henderson Blyth,___/record/21689?highlight=*:*
Bowl (1920s),Emma Gillies,___/record/122129?highlight=*:*
Untitled - Figure Drawing of a Man on a Stool (1964),Gordon Bryce,___/record/99326?highlight=*:*
"Sweden - Fishing for Str⁯ömming, Furusund (1962)",Ann F Ward,___/record/99338?highlight=*:*
Serving Plate,Emma Gillies,___/record/53620?highlight=*:*
Harbour scene,Derek Maguire,___/record/102744?highlight=*:*
Untitled - Portrait of a Woman with Short Hair (1961),Gavin Waddell,___/record/99454?highlight=*:*
Unknown (1952),Rosemary Bagshaw,___/record/53520?highlight=*:*
Two Circus Acts in One (1958),Seong Moy,___/record/21704?highlight=*:*
Seated Female Nude (1949),Leszek Muszynski,___/record/21075?highlight=*:*
Teacup,Emma Gillies,___/record/53651?highlight=*:*
Untitled (1983),Robert Rivers,___/record/99806?highlight=*:*
Two Standing Nudes in a Landscape (1951),James P W Syme,___/record/20835?highlight=*:*
Inscription Panel from Trajan's Column (Left side),Unknown,___/record/20536?highlight=*:*
Untitled (1968),Doreen Turner,___/record/22013?highlight=*:*
Unknown,Robert Euman,___/record/53544?highlight=*:*
Kneeling Male Nude (1953),Adam M Martin,___/record/21058?highlight=*:*
City Beyond (NOV 1962),John Picking,___/record/111038?highlight=*:*
Still Life (Circa 1970),Patrick J. Hickey,___/record/22606?highlight=*:*
